path,mode,lambda,ess,accuracy,ece,nll,brier,avg_confidence,confidence_gap,mean_logit_norm,posthoc_temperature,ts_ece,ts_nll,ts_brier,ts_avg_confidence
results/pace_ivon_lbd_sweep/Lbd0.1/pace_Lbd0.1_S1.2_LoRAadd_R10_IVON_Hi0.1_lr0.03_caltech101_caltech101.json,mean,0.1,1000000.0,0.9469844698905945,0.047748297452926636,0.26429006457328796,0.0881311297416687,0.8992362022399902,0.04774826765060425,8.135844230651855,0.911185622215271,0.020746469497680664,0.23796096444129944,0.08452700823545456,0.9268548488616943
results/pace_ivon_lbd_sweep/Lbd0.1/pace_Lbd0.1_S1.2_LoRAadd_R10_IVON_Hi0.1_lr0.03_caltech101_caltech101_MCIVON10.json,mc10,0.1,1000000.0,0.9469844698905945,0.04797504469752312,0.2643589973449707,0.08814793080091476,0.8990093469619751,0.047975122928619385,,0.9109132885932922,0.020377615466713905,0.23787759244441986,0.0845036581158638,0.9267248511314392
results/pace_ivon_lbd_sweep/Lbd0.25/pace_Lbd0.25_S1.2_LoRAadd_R10_IVON_Hi0.1_lr0.03_caltech101_caltech101.json,mean,0.25,1000000.0,0.9469844698905945,0.09880339354276657,0.326287180185318,0.09935322403907776,0.8481810688972473,0.09880340099334717,7.193820953369141,0.8842068314552307,0.04400559514760971,0.26575544476509094,0.08851995319128036,0.9029789566993713
results/pace_ivon_lbd_sweep/Lbd0.25/pace_Lbd0.25_S1.2_LoRAadd_R10_IVON_Hi0.1_lr0.03_caltech101_caltech101_MCIVON10.json,mc10,0.25,1000000.0,0.9471147656440735,0.09913299977779388,0.32638540863990784,0.09942168742418289,0.8479816913604736,0.09913307428359985,,0.8840111494064331,0.04422209784388542,0.2656646966934204,0.08853724598884583,0.9028926491737366
results/pace_ivon_lbd_sweep/Lbd0.5/pace_Lbd0.5_S1.2_LoRAadd_R10_IVON_Hi0.1_lr0.03_caltech101_caltech101.json,mean,0.5,1000000.0,0.9458121657371521,0.16876430809497833,0.41931474208831787,0.12281730026006699,0.777047872543335,0.16876429319381714,6.466874599456787,0.854661762714386,0.07315680384635925,0.30234676599502563,0.09564513713121414,0.8726553320884705
results/pace_ivon_lbd_sweep/Lbd0.5/pace_Lbd0.5_S1.2_LoRAadd_R10_IVON_Hi0.1_lr0.03_caltech101_caltech101_MCIVON10.json,mc10,0.5,1000000.0,0.9462029337882996,0.16947069764137268,0.419599711894989,0.12294638901948929,0.7767322659492493,0.1694706678390503,,0.8544806838035583,0.0736854076385498,0.3023235499858856,0.09568227827548981,0.8725176453590393
results/pace_ivon_lbd_sweep/Lbd1/pace_Lbd1_S1.2_LoRAadd_R10_IVON_Hi0.1_lr0.03_caltech101_caltech101.json,mean,1.0,1000000.0,0.9430767297744751,0.2810739278793335,0.5882834196090698,0.1792536973953247,0.6620028018951416,0.2810739278793335,5.697490215301514,0.8087911009788513,0.11261982470750809,0.35594314336776733,0.1086832582950592,0.8304569721221924
results/pace_ivon_lbd_sweep/Lbd1/pace_Lbd1_S1.2_LoRAadd_R10_IVON_Hi0.1_lr0.03_caltech101_caltech101_MCIVON10.json,mc10,1.0,1000000.0,0.9432069659233093,0.28144243359565735,0.588626503944397,0.17940683662891388,0.6617645025253296,0.28144246339797974,,0.8086671829223633,0.11283354461193085,0.3559950590133667,0.10874669998884201,0.8303734064102173
results/pace_ivon_lbd01_ess_sweep/Ess1600/pace_Lbd0.1_S1.2_LoRAadd_R10_IVON_Ess1600_Hi0.1_lr0.03_caltech101_caltech101.json,mean,0.1,1600.0,0.8069558143615723,0.20268963277339935,0.9457684755325317,0.34010761976242065,0.6042662262916565,0.20268958806991577,7.7574992179870605,0.7519601583480835,0.082418292760849,0.7432330250740051,0.28528428077697754,0.7310245633125305
results/pace_ivon_lbd01_ess_sweep/Ess1600/pace_Lbd0.1_S1.2_LoRAadd_R10_IVON_Ess1600_Hi0.1_lr0.03_caltech101_caltech101_MCIVON10.json,mc10,0.1,1600.0,0.7872866988182068,0.25235143303871155,1.1399627923965454,0.39759311079978943,0.5349352955818176,0.25235140323638916,,0.6906628012657166,0.09038379788398743,0.8483933806419373,0.317081093788147,0.6983669996261597
results/pace_ivon_lbd01_ess_sweep/Ess1e+06/pace_Lbd0.1_S1.2_LoRAadd_R10_IVON_Hi0.1_lr0.03_caltech101_caltech101.json,mean,0.1,1000000.0,0.946593701839447,0.04704974219202995,0.264204740524292,0.08803842216730118,0.8995439410209656,0.047049760818481445,8.137308120727539,0.9114766120910645,0.019631464034318924,0.238059401512146,0.08445760607719421,0.9270384311676025
results/pace_ivon_lbd01_ess_sweep/Ess1e+06/pace_Lbd0.1_S1.2_LoRAadd_R10_IVON_Hi0.1_lr0.03_caltech101_caltech101_MCIVON10.json,mc10,0.1,1000000.0,0.9464634656906128,0.0471634715795517,0.2645038068294525,0.0881529301404953,0.8993000984191895,0.04716336727142334,,0.9112994074821472,0.020004384219646454,0.23823878169059753,0.0845547690987587,0.9268859028816223
results/pace_ivon_lbd01_ess_sweep/Ess200000/pace_Lbd0.1_S1.2_LoRAadd_R10_IVON_Ess200000_Hi0.1_lr0.03_caltech101_caltech101.json,mean,0.1,200000.0,0.9468542337417603,0.04785946384072304,0.26325148344039917,0.08806160092353821,0.8989948034286499,0.04785943031311035,8.14024543762207,0.9106878638267517,0.020032193511724472,0.23662681877613068,0.08443552255630493,0.9268220663070679
results/pace_ivon_lbd01_ess_sweep/Ess200000/pace_Lbd0.1_S1.2_LoRAadd_R10_IVON_Ess200000_Hi0.1_lr0.03_caltech101_caltech101_MCIVON10.json,mc10,0.1,200000.0,0.9471147656440735,0.04903522506356239,0.26349374651908875,0.0882054790854454,0.898079514503479,0.04903525114059448,,0.9096553921699524,0.02075444534420967,0.23622989654541016,0.08443312346935272,0.9263603091239929
results/pace_ivon_lbd01_ess_sweep/Ess40000/pace_Lbd0.1_S1.2_LoRAadd_R10_IVON_Ess40000_Hi0.1_lr0.03_caltech101_caltech101.json,mean,0.1,40000.0,0.9471147656440735,0.04936303198337555,0.25886037945747375,0.087417371571064,0.8977518081665039,0.04936295747756958,8.153141975402832,0.90816730260849,0.02058205008506775,0.2307787537574768,0.08360011130571365,0.9265327453613281
results/pace_ivon_lbd01_ess_sweep/Ess40000/pace_Lbd0.1_S1.2_LoRAadd_R10_IVON_Ess40000_Hi0.1_lr0.03_caltech101_caltech101_MCIVON10.json,mc10,0.1,40000.0,0.9473752975463867,0.05343261733651161,0.2611275613307953,0.0880918800830841,0.893942654132843,0.0534326434135437,,0.9043722152709961,0.02289789915084839,0.23053835332393646,0.0837281122803688,0.9244773387908936
results/pace_ivon_lbd01_ess_sweep/Ess8000/pace_Lbd0.1_S1.2_LoRAadd_R10_IVON_Ess8000_Hi0.1_lr0.03_caltech101_caltech101.json,mean,0.1,8000.0,0.9480265974998474,0.05740492790937424,0.2547699213027954,0.08819808065891266,0.8906216025352478,0.05740499496459961,8.206945419311523,0.9013253450393677,0.025276562198996544,0.22196149826049805,0.08350560069084167,0.922749936580658
results/pace_ivon_lbd01_ess_sweep/Ess8000/pace_Lbd0.1_S1.2_LoRAadd_R10_IVON_Ess8000_Hi0.1_lr0.03_caltech101_caltech101_MCIVON10.json,mc10,0.1,8000.0,0.9462029337882996,0.06869195401668549,0.26823553442955017,0.09232620894908905,0.8775109648704529,0.06869196891784668,,0.8907002210617065,0.030664823949337006,0.22690384089946747,0.08564089983701706,0.9155381917953491
